community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_ROAR4,34,Reconstruction prov:qualifiedDerivation prov:Derivation,[Reconstruction [C]] [prov:qualifiedDerivation [P]] [prov:Derivation [C]] ,"none,","wn30:synset-Reconstruction-noun-1,wn30:synset-derivation-noun-1,",,"wn30:synset-Reconstruction-noun-1
wn30:synset-derivation-noun-1
",
inferred_ROAR15,26,Location Person hasLocation hasRelation Entity hasPerson,[Location [C]] [Person [C]] [hasLocation [P]] [hasRelation [P]] [Entity [C]] [hasPerson [P]] ,"frame:Locale,frame:People,frame:Entity,","wn30:synset-location-noun-1,wn30:synset-person-noun-1,wn30:synset-entity-noun-1,","wn30:synset-location-noun-1 - frame:Locale - frame:Locale
wn30:synset-person-noun-1 - frame:People - frame:Entity
wn30:synset-entity-noun-1 - frame:Entity
",,
inferred_ROAR1,34,Observation prov:entity prov:Derivation,[Observation [C]] [prov:entity [P]] [prov:Derivation [C]] ,"frame:Entity,","wn30:synset-observation-noun-1,wn30:synset-entity-noun-1,wn30:synset-derivation-noun-1,","wn30:synset-entity-noun-1 - frame:Entity
","wn30:synset-observation-noun-1
wn30:synset-derivation-noun-1
",
inferred_ROAR10,26,pnv:PersonName Person pnv:hasName,[pnv:PersonName [C]] [Person [C]] [pnv:hasName [P]] ,"frame:People,","wn30:synset-person-noun-1,","wn30:synset-person-noun-1 - frame:People - frame:Entity
",,
inferred_ROAR7,25,bio:Event Person bio:event,[bio:Event [C]] [Person [C]] [bio:event [P]] ,"frame:Event,frame:People,frame:Event,","wn30:synset-event-noun-1,wn30:synset-person-noun-1,wn30:synset-event-noun-1,","wn30:synset-event-noun-1 - frame:Event - frame:State
wn30:synset-person-noun-1 - frame:People - frame:Entity
wn30:synset-event-noun-1 - frame:Event - frame:State
",,
inferred_ROAR2,34,prov:Derivation prov:Entity prov:entity,[prov:Derivation [C]] [prov:Entity [C]] [prov:entity [P]] ,"frame:Entity,frame:Entity,","wn30:synset-derivation-noun-1,wn30:synset-entity-noun-1,wn30:synset-entity-noun-1,","wn30:synset-entity-noun-1 - frame:Entity
wn30:synset-entity-noun-1 - frame:Entity
","wn30:synset-derivation-noun-1
",
inferred_ROAR13,19,prov:Agent prov:Activity prov:qualifiedAssociation prov:Association prov:agent,[prov:Agent [C]] [prov:Activity [C]] [prov:qualifiedAssociation [P]] [prov:Association [C]] [prov:agent [P]] ,"frame:Intentionally_act,frame:Organization,","wn30:synset-agent-noun-1,wn30:synset-activity-noun-1,wn30:synset-association-noun-1,wn30:synset-agent-noun-1,","wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event
wn30:synset-association-noun-1 - frame:Organization - frame:Aggregate
","wn30:synset-agent-noun-1
wn30:synset-agent-noun-1
",
inferred_ROAR6,26,hasRelation Person,[hasRelation [P]] [Person [C]] ,"frame:People,","wn30:synset-person-noun-1,","wn30:synset-person-noun-1 - frame:People - frame:Entity
",,
inferred_ROAR3,34,Reconstruction prov:Entity prov:wasDerivedFrom,[Reconstruction [C]] [prov:Entity [C]] [prov:wasDerivedFrom [P]] ,"frame:Entity,","wn30:synset-Reconstruction-noun-1,wn30:synset-entity-noun-1,","wn30:synset-entity-noun-1 - frame:Entity
","wn30:synset-Reconstruction-noun-1
",
inferred_ROAR12,19,prov:hadActivity prov:Derivation prov:Activity,[prov:hadActivity [P]] [prov:Derivation [C]] [prov:Activity [C]] ,"frame:Intentionally_act,","wn30:synset-derivation-noun-1,wn30:synset-activity-noun-1,","wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event
","wn30:synset-derivation-noun-1
",
